ts,dpid,opcode,src_ip,dst_ip,src_mac,dst_mac,src_ip_oct,dst_ip_oct,src_mac_b,dst_mac_b,is_request,is_reply,is_gratuitous,dst_mac_zero,req_rate_1s,mac_change_count,label
1766131608.466871,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131608.6646554,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,5,0,attack
1766131608.6660182,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131608.8648722,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,1,0,attack
1766131608.8660152,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131609.065344,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,2,0,attack
1766131609.0665932,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131609.265387,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,3,0,attack
1766131609.266514,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131609.4660993,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,4,0,attack
1766131609.4675019,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131609.6658285,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,5,0,attack
1766131609.6665633,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131609.8666484,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,1,0,attack
1766131609.8681023,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131610.0668123,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,2,0,attack
1766131610.0680845,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131610.2670667,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,3,0,attack
1766131610.2682843,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131610.467496,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,4,0,attack
1766131610.4689698,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131610.6676848,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,5,0,attack
1766131610.6691449,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131611.8211112,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,1,0,attack
1766131611.822453,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131611.921291,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,2,0,attack
1766131611.9229205,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131612.0216627,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,3,0,attack
1766131612.0232382,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131612.1219208,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,4,0,attack
1766131612.1234388,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131612.2220654,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,5,0,attack
1766131612.2235298,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131612.322281,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,6,0,attack
1766131612.323536,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131612.422338,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,7,0,attack
1766131612.423621,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131612.522424,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,8,0,attack
1766131612.5237412,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131612.6228292,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,9,0,attack
1766131612.6242225,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131612.7230072,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,10,0,attack
